barcode,old_name,new_name,old_price,new_price,old_category,new_category
59003854.0,"Danone Danonino epres, sárgabarackos tejtermék hozzáadott kalciummal & D-vitaminnal 4 x 50 g (200 g)",Danonino epres és sárgabarackos tejkészítmény hozzáadott kalciummal és D-vitaminnal 4 x 50 g (200 g),589.0,649.0,puding-46,rizs-koles-hajdina-arpa-94
59441199.0,Danone Danonino banános és málnás tejtermék hozzáadott kalciummal és D-vitaminnal 4 x 50 g (200 g),Danonino banános és málnás tejkészítmény hozzáadott kalciummal és D-vitaminnal 4 x 50 g (200 g),589.0,649.0,puding-46,rizs-koles-hajdina-arpa-94
70177077563.0,Twinings Earl Grey aromás fekete tea 25 filter 50 g,Twinings Earl Grey Black Tea 25 Tea Bags 50 g,1799.0,1909.0,fekete-tea-286,100-os-gyumolcs-es-zoldseglevek-137
2004840540014.0,"Tolle zsíros, félkemény trappista sajt egész","Tolle zsíros, félkemény trappista sajt",648.0,584.0,kemeny-felkemeny-sajtok-35,laktozmentes-84
3046920028370.0,Lindt Excellence Intense Orange étcsokoládé narancslével és mandulával 100 g,"Lindt Excellence Intense Orange étcsokoládé narancslével és mandulával, 100 g",1699.0,2309.0,tablas-csokoladek-106,likor-172
3387390122473.0,"Nestlé Cini Minis ropogós fahéjas gabonapehely teljes kiőrlésű búzával, vitaminokkal és vassal 250 g","Cini Minis ropogós fahéjas gabonapehely teljes kiőrlésű búzával, vitaminokkal és vassal 250 g",1199.0,1379.0,gabonapehely-71,fagyasztott-husok-129
3800020491553.0,KitKat Double Chocolate kakaós krémmel töltött ropogós ostya tej- és étcsokoládéban 99 g,"KitKat Double Chocolate kakaós krémmel töltött ropogós ostya tej- és étcsokoládéban, 99 g",999.0,1049.0,csokolade-105,alkoholok-171
3850104008443.0,Vegeta ételízesítő 500 g,"Vegeta ételízesítő, 500 g",1549.0,1644.0,etelizesito-leveskocka-102,grill-es-pac-szoszok-167
3850104008825.0,Vegeta ételízesítő 125 g,"Vegeta ételízesítő, 125 g",589.0,624.0,etelizesito-leveskocka-102,grill-es-pac-szoszok-167
3858887585182.0,"Somersby Raspberry & Lime cider almalé alapú szénsavas alkoholos ital 4,5% 0,33 l","Somersby cider málna és lime ízesítéssel 4.5%, 330 ml",549.0,619.0,cider-236,alkoholmentes-sor-234
4005528115218.0,"Monday Hello Kitty ropogós gyümölcsízű reggeli gabonapelyhek, búzaliszttel és rizsliszttel 311 g","Monday Hello Kitty ropogós gyümölcsízű reggeli gabonapelyhek, búzaliszttel és rizsliszttel, 311 g",2199.0,2334.0,zabpehely-zabkasa-rizskasa-70,fagyasztott-elelmiszerek-128
4006067089848.0,"Eduscho Family őrölt, pörkölt kávé 500 g","Eduscho Family őrölt, pörkölt kávé, 500 g",3899.0,3464.0,orolt-kave-282,gyorsfagyasztott-desszert-133
4014500512716.0,"Zott Jogobella 0% élőflórás, sovány joghurt édesítőszerekkel 150 g",Zott Jogobella laktózmentes élőflórás sovány joghurt édesítőszerekkel 150 g,151.0,151.0,izesitett-joghurt-280,zabpehely-zabkasa-rizskasa-70
4023600016338.0,Dr. Oetker magas fehérjetartalmú csokoládéízű puding édesítőszerekkel 200 g,Dr. Oetker High Protein Puding csokoládé ízű 200 g,599.0,649.0,pudingpor-294,salatak-es-hidegtalak-158
4023600016352.0,Dr. Oetker magas fehérjetartalmú grízpuding édesítőszerekkel 200 g,Dr. Oetker High Protein Puding Gríz 200 g,599.0,649.0,pudingpor-294,salatak-es-hidegtalak-158
4046234567076.0,"Tchibo Espresso Milano őrölt, pörkölt kávé 250 g","Tchibo Espresso Milano őrölt, pörkölt kávé, 250 g",2699.0,2834.0,orolt-kave-282,gyorsfagyasztott-desszert-133
4046234567137.0,"Tchibo Espresso Sicilia őrölt, pörkölt kávé 250 g","Tchibo Espresso Sicilia őrölt, pörkölt kávé, 250 g",2699.0,2834.0,orolt-kave-282,gyorsfagyasztott-desszert-133
4061445008293.0,"Tchibo Espresso Sicilia szemes, pörkölt kávé 1 kg","Tchibo Espresso Sicilia szemes, pörkölt kávé, 1000 g",9999.0,10499.0,szemes-kave-284,glutenmentes-termekek-135
4061445344957.0,"Tchibo Exclusive Good Mood Blend pörkölt, szemes kávé 1000 g","Tchibo Exclusive Good Mood Blend szemes, pörkölt kávé 1000 g",8999.0,9449.0,szemes-kave-284,glutenmentes-termekek-135
4061445355328.0,Tchibo Cafissimo Espresso Elegant Aroma kávékapszula 10 db 70 g,"Tchibo Cafissimo Espresso Elegant Aroma kávékapszula, 70 g, 10 db",1899.0,1944.0,kapszulas-kave-283,vegan-termekek-134
4061445355366.0,Tchibo Cafissimo Espresso Intense Aroma kávékapszula 10 db 75 g,"Tchibo Cafissimo Espresso Intense Aroma kávékapszula, 75 g, 10 db",1899.0,1944.0,kapszulas-kave-283,vegan-termekek-134
4061445355526.0,Tchibo Cafissimo Barista Edition Espresso Brasil kávékapszula 10 db 80 g,"Tchibo Cafissimo Barista Espresso Brasil kávékapszula, 80 g, 10 db",1899.0,1994.0,kapszulas-kave-283,vegan-termekek-134
4061445355588.0,Tchibo Cafissimo Espresso Flavored Edition Caramel kávékapszula 10 db 75 g,"Tchibo Cafissimo Espresso Flavored Edition Caramel kávékapszula 75 g, 10 db",1899.0,1944.0,kapszulas-kave-283,vegan-termekek-134
4823077632075.0,Tibi Bubble tejcsokoládé 80 g,Tibi Aerated tejcsokoládé 80 g,599.0,524.0,tablas-csokoladek-106,likor-172
5011013100156.0,"Baileys eredeti ír krémlikőr 17% 0,7 l","Baileys eredeti ír krémlikőr 17%, 700 ml",8659.0,9094.0,likor-172,cider-236
5011013100170.0,"Baileys eredeti ír krémlikőr 17% 0,5 l","Baileys eredeti ír krémlikőr 17%, 500 ml",6999.0,7349.0,likor-172,cider-236
5011026105223.0,"Carolans ír krémlikőr 17% 0,7 l",Carolans ír krémlikőr 17% 70 cl,8099.0,8924.0,likor-172,cider-236
5014271310428.0,St. Dalfour fekete cseresznye 284 g,"St. Dalfour fekete cseresznye, 284 g",1999.0,2119.0,lekvar-79,icetea-143
5014271400426.0,St. Dalfour eper 284 g,"St. Dalfour eper, 284 g",1999.0,2119.0,lekvar-79,icetea-143
5411188134985.0,"Alpro Shhh... this is not Milk cukormentes zabital hozzáadott kalciummal és D2-vitaminnal 3,5% 1 l","Alpro Shhh... this is not Milk cukormentes zabital hozzáadott kalciummal és D2-vitaminnal 3.5%, 1000 ml",1149.0,1354.0,novenyi-termekek-58,energiaszeletek-73
5740900815308.0,Lurpak enyhén sózott csökkentett zsírtartalmú kenhető keverék készítmény 200 g,"Lurpak Enyhén sózott, csökkentett zsírtartalmú kenhető keverék készítmény 200 g",1849.0,1944.0,vaj-margarin-49,ecet-olaj-citromle-97
5900020013668.0,"Nestlé Nesquik kakaós ízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal 375 g","Nestlé Nesquik kakaós ízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal, 375 g",1699.0,1909.0,gabonapehely-71,fagyasztott-husok-129
5900020013927.0,"Nestlé Chocapic csokiízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal 375 g","Chocapic csokiízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal 375 g",1699.0,1909.0,gabonapehely-71,fagyasztott-husok-129
5900020022769.0,"Nestlé Cini Minis ropogós fahéjas gabonapehely teljes kiőrlésű búzával, vitaminokkal és vassal 375 g","Nestlé Cini Minis ropogós fahéjas gabonapehely teljes kiőrlésű búzával, vitaminokkal és vassal, 375 g",1699.0,1909.0,gabonapehely-71,fagyasztott-husok-129
5900020025678.0,"Nestlé Fitness tejcsokoládés gabonapehely-szelet vitaminokkal & ásványi anyagokkal reggelihez 22,5 g","Nestlé Fitness tejcsokoládés gabonapehely-szelet vitaminokkal és ásványi anyagokkal 22,5 g",229.0,249.0,muzliszelet-gabonapehely-szelet-111,egyeb-alkoholos-italok-koktelok-181
5900020032096.0,"Nestlé Nesquik Alphabet betű formájú, kakaós ízű, ropogós gabonapehely vitaminokkal 325 g","Nesquik Alphabet betű formájú, kakaós ízű, ropogós gabonapehely vitaminokkal 325 g",1699.0,1909.0,gabonapehely-71,fagyasztott-husok-129
5900020042163.0,"Nestlé Strawberry Minis ropogós, epres gabonapehely teljes kiőrlésű búzával 375 g","Strawberry Minis ropogós, epres ízű gabonapehely teljes kiőrlésű búzával, vitaminokkal 375 g",1699.0,1909.0,gabonapehely-71,fagyasztott-husok-129
5900020042514.0,Nestlé Chocapic brownie ízű ropogós gabonapehely vitaminokkal és ásványi anyagokkal 300 g,Chocapic brownie ízű ropogós gabonapehely vitaminokkal és ásványi anyagokkal 300 g,1699.0,1909.0,gabonapehely-71,fagyasztott-husok-129
5900020042774.0,"Nestlé Cini Minis Churros ropogós, fahéjas gabonapehely teljes kiőrlésű búzával 300 g","Cini Minis Churros ropogós, fahéjas gabonapehely teljes kiőrlésű búzával 300 g",1699.0,1909.0,gabonapehely-71,fagyasztott-husok-129
5900020043191.0,Nestlé KitKat kakaós ízű ropogós gabonapehely tejcsokoládéval 330 g,KitKat kakaós ízű ropogós gabonapehely tejcsokoládéval vitaminokkal és ásványi anyagokkal 330 g,1899.0,2014.0,gabonapehely-71,fagyasztott-husok-129
5900396016164.0,Loyd aromatizált filteres gyümölcstea málna és eper ízesítéssel 20 filter 40 g,Loyd málna és eper ízű filteres gyümölcstea 20 filter 40 g,739.0,794.0,gyumolcsteak-288,izesitett-viz-139
5900396016171.0,Loyd aromatizált filteres gyümölcstea fekete áfonya és szeder ízesítéssel 20 filter 40 g,Loyd fekete áfonya és szeder ízű filteres gyümölcstea 20 filter 40 g,739.0,794.0,fekete-tea-286,100-os-gyumolcs-es-zoldseglevek-137
5900396017291.0,"Loyd aromatizált, szilva és fahéj ízű gyümölcstea 20 filter 40 g",Loyd szilva és fahéj ízű aromatizált gyümölcstea 20 filter 40 g,739.0,794.0,gyumolcsteak-288,izesitett-viz-139
5900649067530.0,Mokate 3in1 XXL azonnal oldódó kávéspecialitás barna cukorral 24 x 17 g (408 g),Mokate 3in1 instant kávéitalpor kávéba és teába cukorral 24 x 17 g (408 g),1649.0,1784.0,instant-kave-285,vizek-uditok-136
5902620238465.0,"Schulstad búzalisztből készült, francia fúrt hot dog kifli 3 x 60 g (180 g)","Schulstad Classic búzalisztből készült, francia fúrt hot dog kifli 3 x 60 g (180 g)",569.0,615.0,zsemle-kifli-bagel-baguette-32,mez-80
5948562510443.0,"Corona mexikói világos sör 4,5% 0,355 l","Corona mexikói világos sör 4.5%, 355 ml",779.0,784.0,vilagos-sor-231,kezmuves-sor-230
5995099444451.0,"St. Hubertus Eredeti gyógynövénylikőr 33% 0,7 l","St. Hubertus Eredeti gyógynövénylikőr 33%, 700 ml",5849.0,6485.0,likor-172,cider-236
5995663909096.0,Sága Füstli Klasszik füst ízesítésű virsli csirkehúsból 350 g,Master Good Füstli Klasszik füst ízesítésű virsli csirkehúsból 350 g,899.0,1469.0,virsli-62,tortilla-chips-es-szoszok-115
5997003583027.0,Vénusz Omega finomított étolaj 1 l,"Vénusz Omega finomított étolaj, 1000 ml",819.0,919.0,ecet-olaj-citromle-97,antipasti-159
5997100029473.0,Pickwick Herbal Goodness csipkebogyó tea hibiszkusszal 20 filter 50 g,Pickwick csipkebogyó tea hibiszkusszal 20 filter 50 g,789.0,929.0,gyogyteak-289,szensavmentes-uditoitalok-140
5997338170718.0,"Eduscho Family szemes, pörkölt kávé 1000 g","Eduscho Family szemes, pörkölt kávé, 1000 g",6999.0,7349.0,szemes-kave-284,glutenmentes-termekek-135
5997338170732.0,"Eduscho Family őrölt, pörkölt kávé 1000 g","Eduscho Family őrölt, pörkölt kávé, 1000 g",7399.0,6824.0,orolt-kave-282,gyorsfagyasztott-desszert-133
5997338187044.0,"Eduscho Family Classic őrölt, pörkölt kávé 250 g","Eduscho Family őrölt, pörkölt kávé 250 g",1799.0,1889.0,orolt-kave-282,gyorsfagyasztott-desszert-133
5997349305215.0,Bravos 3in1 instant kávéspecialitás 10 x 17 g (170 g),"Bravos 3in1 instant, azonnal oldódó kávéspecialitás 10 x 17 g (170 g)",799.0,884.0,instant-kave-285,vizek-uditok-136
5997380360341.0,"Detki Vital omlós kókuszos keksz hozzáadott cukor nélkül, édesítőszerekkel 180 g","Detki Vitál kókuszos omlós keksz, cukor hozzáadása nélkül, édesítőszerekkel 180 g",599.0,534.0,cukormentes-257,energiaszeletek-73
5997381361156.0,Dr. Oetker Vitalis málnás zabkása alappor 53 g,Dr. Oetker Vitalis málnás zabkása alappor málnadarabokkal 53 g,285.0,309.0,zabpehely-zabkasa-rizskasa-70,fagyasztott-elelmiszerek-128
5997381361910.0,Dr. Oetker Vitalis banános zabkása 55 g,Dr. Oetker Vitalis banános zabkása alappor banánporral 55 g,285.0,309.0,zabpehely-zabkasa-rizskasa-70,fagyasztott-elelmiszerek-128
5997381361934.0,Dr. Oetker Vitalis almás-fahéjas zabkása alappor 48 g,Dr. Oetker Vitalis almás-fahéjas zabkása alappor almadarabokkal 48 g,285.0,309.0,zabpehely-zabkasa-rizskasa-70,fagyasztott-elelmiszerek-128
5997381364188.0,Dr. Oetker Vitalis vaníliás zabkása alappor 52 g,Dr. Oetker Vitalis vaníliás zabkása alappor Bourbon vanília kivonattal 52 g,285.0,309.0,zabpehely-zabkasa-rizskasa-70,fagyasztott-elelmiszerek-128
5997381366182.0,Dr. Oetker Vitalis csokoládés zabkása alappor 61 g,Dr. Oetker Vitalis csokoládés zabkása alappor kakaóbab törettel 61 g,285.0,309.0,zabpehely-zabkasa-rizskasa-70,fagyasztott-elelmiszerek-128
5997381371308.0,"Dr. Oetker Vitalis szilvás-fahéjas zabkása hozzáadott cukor nélkül, édesítőszerrel 58 g",Dr. Oetker Vitalis szilvás-fahéjas zabkása alappor 58 g,285.0,309.0,zabpehely-zabkasa-rizskasa-70,fagyasztott-elelmiszerek-128
5997536115139.0,Danone Oikos Görög stracciatellaízű élőflórás krémjoghurt 4 x 125 g,Danone Oikos sztracsatellaízű élőflórás krémjoghurt 4 x 125 g,819.0,919.0,izesitett-joghurt-280,edessegek-104
5997536119588.0,"Danone Oikos Görög citromos túrótortaízű, élőflórás krémjoghurt 4 x 125 g","Danone Oikos citromos túrótortaízű, élőflórás krémjoghurt 4 x 125 g",819.0,919.0,izesitett-joghurt-280,edessegek-104
5997536304649.0,Danone Oikos Görög élőflórás almás pite ízű krémjoghurt 4 x 125 g,Danone Oikos almáspite ízű élőflórás krémjoghurt 4 x 125 g,819.0,919.0,izesitett-joghurt-280,edessegek-104
5997536304830.0,Danone Oikos málnás sajttorta ízű krémjoghurt 4 x 125 g,Danone Oikos málnás sajttorta ízű élőflórás krémjoghurt 4 x 125 g,819.0,919.0,izesitett-joghurt-280,edessegek-104
5997536305295.0,Danone Oikos Görög élőflórás áfonyás sajttorta ízű krémjoghurt 4 x 125 g,Danone Oikos áfonyás sajttorta ízű élőflórás krémjoghurt 4 x 125 g,819.0,919.0,izesitett-joghurt-280,edessegek-104
5997587362247.0,Szatmári Malom búzafinomliszt BL 55 1 kg,Szatmári búzafinomliszt BL-55 1 kg,221.0,221.0,buzadara-liszt-zsemlemorzsa-95,szendvicskremek-es-pastetomok-156
5997684505493.0,"Medve Protein Fitt kenhető, félzsíros ömlesztett sajt 8 x 17,5 g (140 g)","Medve Protein, fitt natúr kenhető, félzsíros ömlesztett sajt 8 x 17,5 g (140 g)",719.0,518.0,omlesztett-sajtok-38,etrendkiegeszitok-87
5997951103605.0,Sweetab 3in1 cappuccino azonnal oldódó kávéspecialitás 10 x 10 g (100 g),Sweetab 3in1 Cappuccino azonnal oldódó kávéspecialitás fruktózzal 10 x 10 g (100 g),849.0,944.0,instant-kave-285,vizek-uditok-136
